iter	Logloss
0	0.6631277945
1	0.6348694775
2	0.6081339538
3	0.5828413944
4	0.5590070323
5	0.5365259437
6	0.5152108966
7	0.4952387664
8	0.4763594604
9	0.4584700988
10	0.4417138585
11	0.4259620563
12	0.4110523108
13	0.3970891183
14	0.3838982416
15	0.371528752
16	0.3597985688
17	0.348702234
18	0.3382592433
19	0.3284221567
20	0.3191413673
21	0.3103499837
22	0.3021532716
23	0.2944538391
24	0.2871081512
25	0.2802353788
26	0.2736566474
27	0.2674741342
28	0.2616438156
29	0.256163044
30	0.2509858078
31	0.2460407247
32	0.2413699614
33	0.2369808124
34	0.23284413
35	0.2289748517
36	0.225305378
37	0.2217954059
38	0.2184649595
39	0.2153405751
40	0.2123550478
41	0.2095762412
42	0.2069362033
43	0.2044056173
44	0.2019931851
45	0.1997357839
46	0.1975815462
47	0.1955480098
48	0.1935978846
49	0.1917611029
50	0.1899909615
51	0.1883482731
52	0.1867542537
53	0.1852818254
54	0.1838680057
55	0.1824873359
56	0.181197782
57	0.1799841649
58	0.1788314073
59	0.1777455654
60	0.1766834576
61	0.1756654579
62	0.1747319137
63	0.1738081808
64	0.1729454465
65	0.1721412237
66	0.1713656393
67	0.1705986901
68	0.1698574367
69	0.1691691633
70	0.1685297354
71	0.1679200288
72	0.1673225466
73	0.1667573637
74	0.1662110313
75	0.1657079222
76	0.1652199057
77	0.1647616798
78	0.1642941149
79	0.1638573534
80	0.1634434292
81	0.1630489377
82	0.1626807938
83	0.1623020781
84	0.1619389459
85	0.1616073378
86	0.1613043499
87	0.161003753
88	0.1607094297
89	0.1604359265
90	0.1601727574
91	0.1599412324
92	0.159693807
93	0.1594782859
94	0.1592436771
95	0.1590458176
96	0.1588495063
97	0.1586547383
98	0.1584794052
99	0.1583063057
100	0.1581225547
101	0.1579609545
102	0.1578110123
103	0.1576438286
104	0.157496014
105	0.1573526378
106	0.1571855814
107	0.1570415137
108	0.1569109739
109	0.1567810156
110	0.1566412992
111	0.1565372379
112	0.1564227175
113	0.1563102468
114	0.1562105685
115	0.1561157962
116	0.1560078553
117	0.1559113044
118	0.1558177709
119	0.1557286695
120	0.1556518369
121	0.1555865095
122	0.1554996753
123	0.1554197974
124	0.1553501064
125	0.1552627083
126	0.1551933881
127	0.1551352778
128	0.1550719334
129	0.1550030708
130	0.1549333594
131	0.1548600355
132	0.1548011734
133	0.1547314873
134	0.1546715336
135	0.1546095318
136	0.1545441219
137	0.1544920786
138	0.1544546256
139	0.1544025772
140	0.1543471305
141	0.1542994338
142	0.1542581682
143	0.1542220871
144	0.1541737819
145	0.1541268911
146	0.154079388
147	0.1540394998
148	0.1540090477
149	0.153959963
150	0.1539176866
151	0.1538737382
152	0.1538419118
153	0.1537937527
154	0.1537540897
155	0.1537272433
156	0.1536904048
157	0.153657976
158	0.1536226369
159	0.1535905543
160	0.1535662554
161	0.1535355092
162	0.1535053333
163	0.1534750405
164	0.1534488385
165	0.1534183292
166	0.1533897337
167	0.1533588382
168	0.15333578
169	0.1533066221
170	0.153282348
171	0.1532590755
172	0.153233007
173	0.1532016279
174	0.1531807111
175	0.1531605044
176	0.1531406511
177	0.1531204477
178	0.1530993263
179	0.1530828172
180	0.1530550208
181	0.1530386936
182	0.1530222659
183	0.1530024526
184	0.1529772934
185	0.1529580913
186	0.1529342085
187	0.1529124798
188	0.1528931937
189	0.1528727463
190	0.1528610967
191	0.1528393513
192	0.1528210079
193	0.152803801
